#;Nome;E-mail;"CPF / CNPJ";Empresa;"Profissão / Cargo";Telefone;Cidade;Estado;País;Status;"Estágio do Funil";"Título do Negócio";"Valor do Negócio";Conversões;"Última Conversão";Domínio;"Data de Cadastro";URL
704971;"Hubert Kihn";maxie.metz@sawayn.com;721013140;"McGlynn Inc";"Asperiores Ullam Earum Quia Omnis Consequatur Sint Quasi Est.";270-682-7064;Ryleeland;Louisiana;"Saint Helena";Novo;Lead;;;0;-;;"20/06/2018 18:23";/lead/zNK43nRvqB
704972;"Angus Morar";mills.rae@gmail.com;321;"Hyatt LLC";"Fuga Velit Officia Quo A.";"332-744-0160 x56848";"South Nicklausburgh";Alabama;Italy;Novo;Lead;;;0;-;;"20/06/2018 18:23";/lead/ymG1RDxQqB
704973;"Nicolas Batz";fhilll@gmail.com;178506336;Frami-Bruen;"Enim Laudantium Et Sequi Est.";1-462-334-9868;Murphyview;Tennessee;"Trinidad and Tobago";Novo;Lead;;;0;-;;"20/06/2018 18:23";/lead/m7KnMzpYqO
704974;"Raul Rodriguez";ukreiger@oberbrunner.biz;48177;Roberts-Gorczany;"Minus Dolore Et In Et Dolore Et Est Quas.";472.584.8721;"West Bridgetfort";Georgia;"Northern Mariana Islands";Novo;Lead;;;0;-;;"20/06/2018 18:23";/lead/nyGgmwxxKk
704975;"Annabelle Halvorson";name50@marquardt.com;44116852;Hettinger-Lebsack;"Ullam Culpa Nihil Qui Veniam.";+17709991510;"North Kaden";Virginia;Kenya;Novo;Lead;;;0;-;;"20/06/2018 18:23";/lead/BAoymLAwov
704976;"Clark Green";shudson@yahoo.com;54;Schiller-Hirthe;"Fuga Rerum Dolore Eveniet Illo Consequatur.";"(557) 944-6927";Hesselburgh;"New Jersey";"British Virgin Islands";Novo;Lead;;;0;-;;"20/06/2018 18:23";/lead/O4qbZzPZq9
704977;"Callie Kemmer";icie70@mohr.biz;27928716;"Mohr Inc";"Et Eum Recusandae Sed Quisquam Aut.";"770.537.2723 x37777";Alexyshaven;"North Dakota";"Papua New Guinea";Novo;Lead;;;0;-;;"20/06/2018 18:23";/lead/dPKr53PXqr
704978;"Rowland Anderson";jude.nader@kunde.com;85;Goodwin-VonRueden;"Omnis Sed Magni Necessitatibus a Totam Voluptatem.";1-215-419-5941;"Port Levi";Vermont;"United States Virgin Islands";Novo;Lead;;;0;-;;"20/06/2018 18:23";/lead/R4qXjbAmoE
704979;"Nikko Rice";isipes@gmail.com;729;Dicki-Muller;"Autem Repellendus Doloremque Vero Aspernatur Tempora Officia Facere Dolorem.";"(338) 755-7454 x41125";"Lake Yvonne";Kansas;"Wallis and Futuna";Novo;Lead;;;0;-;;"20/06/2018 18:23";/lead/bjo5X78lKY
704980;"Delores Wolff";lmitchell@gmail.com;8;"Blick, Barrows and Stamm";"Consectetur Perferendis Iusto Sit Beatae.";"+1 (841) 800-2836";"South Kaleb";Illinois;Guatemala;Novo;Lead;;;0;-;;"20/06/2018 18:23";/lead/jYqB8m1moy
704981;"Turner Smith";rowland.oreilly@batz.com;8193;"Gaylord Ltd";"Omnis Eos Ullam Aut Veniam Voluptas Impedit.";673.566.3283;Jacobsburgh;Nebraska;Guatemala;Novo;Lead;;;0;-;;"20/06/2018 18:23";/lead/zOGp58QdqX
704982;"Paul Braun";erna.torphy@yahoo.com;24923;Gulgowski-Koss;"Recusandae Qui Molestiae Et Et.";1-512-622-5904;Wymanfurt;Texas;India;Novo;Lead;;;0;-;;"20/06/2018 18:23";/lead/MNKQn0v2oz
704983;"Frances Kihn";auer.jason@langworth.biz;420;Ortiz-Lemke;"Exercitationem Beatae Est Delectus Ratione.";"1-686-380-5077 x9576";"East Ivorymouth";Alabama;"Netherlands Antilles";Novo;Lead;;;0;-;;"20/06/2018 18:23";/lead/8goaOe92qr
704984;"Yesenia Cassin";deion60@hotmail.com;5324;"Wintheiser, Braun and Lehner";"Non Soluta Officiis Eaque Accusantium Et Aut.";+1-290-739-6391;Arnulfoport;Wyoming;Bahamas;Novo;Lead;;;0;-;;"20/06/2018 18:23";/lead/DzGMvdmxqj
704985;"Wilmer Ankunding";ankunding.bettye@yahoo.com;2;"Rohan PLC";"Quae Nemo Vitae Recusandae Est.";"226-335-3450 x95150";Uniquemouth;Florida;Bhutan;Novo;Lead;;;0;-;;"20/06/2018 18:23";/lead/RdKvpYB9G9
704986;"Orland Stiedemann";angel78@kassulke.com;462800;"Gorczany, West and Haag";"Rem Cumque Dolores Officia Perferendis Veritatis.";"(717) 844-7687 x006";"West Maynardberg";Louisiana;"French Guiana";Novo;Lead;;;0;-;;"20/06/2018 18:23";/lead/2QKm5epxKB
704987;"Devyn Jast";jada47@yahoo.com;19496;"Reinger, Kulas and Reinger";"Saepe Illo Rerum Sint Minima Accusamus Consequatur.";"754.563.7502 x7125";Paytonberg;Tennessee;Zambia;Novo;Lead;;;0;-;;"20/06/2018 18:23";/lead/4moARm0BGe
704988;"Madisen Kiehn";mhoeger@hane.biz;6972525;Cormier-Weissnat;"Accusamus Culpa Quaerat Omnis Qui Sit Voluptas.";"+1 (774) 953-2286";Runteland;"Rhode Island";Norway;Novo;Lead;;;0;-;;"20/06/2018 18:23";/lead/AVGEMmjrGx
704989;"Herminia White";gschaefer@green.com;525;"Feest, Kreiger and Cummerata";"Fugiat Et Quia Consequatur Doloremque In Eius Sit.";+1-415-563-8620;Treutelview;Iowa;Seychelles;Novo;Lead;;;0;-;;"20/06/2018 18:23";/lead/m5Gx2O4dKP
